,en,bg,de,ru_RU,uk_UA
#language,Language,Език,Sprache, Язык,Мова
#invert_zoom,Invert zoom direction,Обърни посоката на увеличение,Zoomrichtung umkehren,Инвертировать направление масштабирования,Інвертувати напрямок масштабування
#invert_zoom_desc,Swaps zoom in and zoom out with the mouse wheel.,Разменя увеличението и намалянето с колелцето на мишката.,Vertauscht Hinein- und Herauszoomen mit dem Mausrad.,Поменяет местами увеличение и уменьшение масштаба через колесико мыши.,Міняє місцями збільшення і зменшення масштабування через коліщатко миші.
#wrap_mouse,Wrap mouse,Превъртане на курсора,Maus einschließen,Захватить мышу,Захопити мишу
#wrap_mouse_desc,Wraps the mouse cursor around when panning the viewport.,Превърта курсора когато той достигне краищата на екрана.,Schließt die Maus beim bewegen innerhalb des Fensters ein.,Миша будет телепортироваться от одного края до противположного при передвижении окна просмотра.,Миша буде телепортуватися від одного краю до протилежного при пересуванні вікна перегляду.
#use_ctrl_for_zoom,Use CTRL for zooming,Използвай CTRL за увеличение,Strg-Taste zum Zoomen benutzen,Использовать CTRL для маштабирования,Використовувати CTRL для масштабування.
#use_ctrl_for_zoom_desc,"If turned on, scrolling will pan the view. To zoom, hold CTRL while scrolling.","Когато е включено, влаченето ще премести гледката. За увеличение, натисни CTRL докато влачиш","Wenn diese Option aktiviert ist, wird durch Scrollen die Ansicht geschwenkt. Halten Sie zum Zoomen beim Scrollen die Strg-Taste gedrückt.","Если включено, прокрутка будет перемещать окно просмотра. Чтобы маштабировать Зажмите CTRL когда прокручиваете.","Якщо увімкнено, гортання буде рухати вікно перегляду. Щоб масштабувати, затисніть CTRL доки гортаєте."
#input_tab,Input,Входни сигнали,Eingabe,Устройства ввода,Пристрої вводу
#open,Open,Отвори,Öffnen,Открыть,Відкрити
#close,Close,Затвори,Schließen,Закрыть,Закрити
#repo_button_text,GodSVG Repository,Репозиторията на GodSVG,GodSVG Repository,Репозиторий GodSVG,Репозиторій GodSVG
#about_button_text,About…,Относно приложението…,Über…,Про программу…,Про додаток…
#docs_button_text,Documentation…,Документация…,Dokumentation,Документация…,Документація…
#donate_button_text,Donate (Ko-fi),Дарение (Ko-fi),Spenden (Ko-fi),Сделать пожертвование (Ko-fi),Зробити пожертвування (Ko-fi)
#zoom_in,Zoom In,Увеличи,Hineinzoomen,Приблизить маштаб,Збільшити масштаб
#zoom_reset,Zoom Reset,Рестартирай мащаба,Zoom zurücksetzen,Скинуть маштаб,Скинути масштаб
#zoom_out,Zoom Out,Намали,Herauszoomen,Отдалить маштаб,Зменшити масштаб
#settings,Settings,Настройки,Einstellungen,Настройки,Налаштування
#visuals,Visuals,Графики,Visuelles,Внешний вид,Зовнішній вигляд
#show_grid,Show Grid,Покажи решетката,Raster anzeigen,Показать сетку,Показати ґратку
#show_handles,Show Handles,Покажи дръжките,Griffe anzeigen,Показать ручки редактирования,Показати ручки редагування
#rasterize_svg,Rasterized SVG,Растеризирай SVG,SVG rasterisieren,Растеризовать SVG,Растеризувати SVG
#enable_snap,Enable Snapping,Включи захващането,Einrasten aktivieren,Включить привязку,Активувати прилипання
#snap_size,Snap size,Размер на захващането,Einrastgröße,Размер привязки,Розмір прилипання
#copy_button_tooltip,Copy All Text,Копирай всичкия текст,Text kopieren,Скопировать весь текст,Скопіювати весь текст
#import_button_tooltip,Import SVG,Импорт на SVG,SVG importieren,Импортировать SVG,Імпортувати SVG
#export_button_tooltip,Export SVG,Експорт на SVG,SVG exportieren,Экспортировать SVG,Експортувати SVG
#couple_button_tooltip,Couple/Decouple,Свържи/Отвържи,Koppeln/Entkoppeln,Объединить/Разъединить,З’єднати/Роз’єднати
#duplicate,Duplicate,Дублирай,Duplizieren,Дублировать,Дублювати
